org,company,og_id
Coromandel Gold Mining Company,Coromandel Gold Mining Company,1
International Metal Company,International Metal Company,2
Free State Rand Limited,Free State Rand Limited,3
New Vaal River Diamond Expln Limited,New Vaal River Diamond Expln Limited,4
Tongkah Harbour Tin Dredging Company,Tongkah Harbour Tin Dredging Company,5
Bergakademie Freiberg,NA,6
Planet Arcturus Gold Mines Limited,Planet Arcturus Gold Mines Limited,7
Madeley Wood Limited,Madeley Wood Limited,8
Ger River Tin Mines Limited,Ger River Tin Mines Limited,9
Lloyd Copper Company,Lloyd Copper Company,10
Pitfours Syndicate Limited,Pitfours Syndicate Limited,11
Pniel Diamond Mining Company,Pniel Diamond Mining Company,12
Stanford University,NA,13
Abercrombie Copper Mines Limited,NA,14
Alluvial Tin Field Africa Limited,Alluvial Tin Field Africa Limited,15
Mit,NA,16
Nymagee Copper Limited,Nymagee Copper Limited,17
Leichhardt Cloncurry Development Limited,NA,18
Leviathan Gold Mine Limited,Leviathan Gold Mine Limited,19
Alluvial Tin Fields Of Africa Limited,NA,20
Mouramba Copper Mines Limited Nymagee G,NA,21
Kinta Alluvial Tin Limited,Kinta Alluvial Tin Limited,22
Tyndrum Lead And Zinc Mines,Tyndrum Lead And Zinc Mines,23
Fairbanks Gold Mining Company,NA,24
Chaffers Gold Mininpg Qqmpany Limited,Chaffers Gold Mininpg Qqmpany Limited,25
Central Company,Central Company,26
Central Corporation Limited,Central Corporation Limited,27
Wentworth Gold Fields Proprietary Company,Wentworth Gold Fields Proprietary Company,28
South Kalgurli Gold Mines Limited,South Kalgurli Gold Mines Limited,29
Cobar Copper Company,Cobar Copper Company,30
Yilgarn Syndicate Limited,Yilgarn Syndicate Limited,31
South Sons Inc,NA,32
Adventurers Ashanti And Wassau Limited,Adventurers Ashanti And Wassau Limited,33
Edel Mining Company,Edel Mining Company,34
United Gold & Copper Company,United Gold & Copper Company,35
Williamson Pioneer Development Limited,Williamson Pioneer Development Limited,36
First National Stores Inc,NA,37
Bassi Was Sau Gold Mines,Bassi Was Sau Gold Mines,38
Main Colliery Company,Main Colliery Company,39
Main Colliery Limited,Main Colliery Limited,40
Us Geological Survey,NA,41
Towle Mig Company,NA,42
Great Eastern Quicksilver Mining Company,Great Eastern Quicksilver Mining Company,43
Edgar Zinc Co.,Edgar Zinc Co.,44
United Exploration Company,United Exploration Company,45
Smithsonian Insti Tution,NA,46
San Antonio Esquilache Peru Mines Limited,NA,47
Ashton Valley Iron Company,Ashton Valley Iron Company,48
Asihto Vale Iron Company,Asihto Vale Iron Company,49
Ashton Vale Iron Company,NA,50
Boston Maine R R,NA,51
Ashover Fluor Spar Mines Limited,Ashover Fluor Spar Mines Limited,52
Ashington Coal Company,Ashington Coal Company,53
Chenda Consolidated Limited,Chenda Consolidated Limited,54
Redruth Mining Exchange Company,Redruth Mining Exchange Company,55
Michcoll,NA,56
Public School Of,NA,57
